,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,cols_x,cols_y,dropout,learning_rate,learning_rate_decay,loss,mean_absolute_error,session,time,batch_norm,time_distributed,lstm_units,sequence_length,num_data_files,2nd_LSTM_layer
97,97.0,97.0,97.0,97.0,97.0,,,,,,,x3,y5,0.1,0.005,2.9999999999999997e-05,36.43589448047201,2.52120304107666,models/model-8/20190609015128,15:9,False,,20.0,20,4.0,False
98,98.0,98.0,98.0,98.0,,,,,,,,x3,y6,0.1,0.005,1e-05,50.89919158915106,3.4747703075408936,models/model-8/20190609022005,20:50,False,,30.0,30,4.0,False
99,99.0,99.0,99.0,,,,,,,,,x4,y6,0.1,0.005,2.9999999999999997e-05,68.99316554052257,3.952742099761963,models/model-8/20190609024135,10:30,False,,40.0,40,4.0,False
100,100.0,100.0,100.0,,,,,,,,,x4,y6,0.1,0.005,2.9999999999999997e-05,71.84199706755304,4.113135814666748,models/model-8/20190609025208,12:20,False,,20.0,20,4.0,False
101,101.0,101.0,101.0,,,,,,,,,x4,y6,0.1,0.005,2.9999999999999997e-05,58.39397564807801,3.6238467693328857,models/model-8/20190609030429,19:52,False,,30.0,30,4.0,False
102,102.0,102.0,102.0,,,,,,,,,x4,y6,0.1,0.005,1e-05,52.76499383211954,3.4772427082061768,models/model-8/20190609032423,19:3,False,,40.0,40,4.0,False
103,103.0,103.0,103.0,,,,,,,,,x4,y6,0.1,0.005,5e-05,114.18209618254991,5.520181655883789,models/model-8/20190609034327,5:58,False,,20.0,20,4.0,False
104,104.0,104.0,104.0,,,,,,,,,x4,y6,0.1,0.005,5e-05,49.524083567127676,3.166611671447754,models/model-8/20190609034926,19:29,False,,30.0,30,4.0,False
105,105.0,105.0,105.0,,,,,,,,,x4,y6,0.1,0.005,1e-05,78.2153867443777,4.16350793838501,models/model-8/20190609040855,16:33,False,,30.0,30,4.0,False
106,106.0,106.0,106.0,,,,,,,,,x4,y6,0.1,0.005,5e-05,41.31890782129036,2.8234958648681636,models/model-8/20190609042529,28:14,False,,40.0,40,4.0,False
107,107.0,107.0,107.0,,,,,,,,,x4,y6,0.1,0.005,1e-05,109.00914082282496,5.371265888214111,models/model-8/20190609045344,5:42,False,,20.0,20,4.0,False
108,108.0,108.0,,,,,,,,,,x5,y7,0.1,0.005,3e-05,6.453239521188168,1.4848769903182983,models/model-8/20190613210953,20:41,False,,180.0,180,4.0,False
109,109.0,109.0,,,,,,,,,,x5,y7,0.1,0.005,5e-05,6.452412088906241,1.4811087846755981,models/model-8/20190613213038,13:44,False,,120.0,120,4.0,False
110,110.0,,,,,,,,,,,x5,y7,0.1,0.005,5e-05,6.349610373711486,1.4439812898635864,models/model-8/20190613231214,437:36,False,,150.0,150,4.0,False
111,,,,,,,,,,,,x5,y7,0.1,0.005,3e-05,6.350932663970114,1.444095492362976,models/model-8/20190614115311,2378:32,False,,190.0,190,4.0,False
